dataset,seed_a,seed_b,layer_i,layer_j,same_depth,metric,value
fashion_mnist,42,123,3,2,False,cosine,0.4213452935218811
fashion_mnist,42,123,3,2,False,svcca,0.6774171158710238
fashion_mnist,42,123,3,2,False,pwcca,0.9620755200728588
fashion_mnist,42,123,3,3,True,cka,0.9037131667137146
fashion_mnist,42,123,3,3,True,cosine,0.41801002621650696
fashion_mnist,42,123,3,3,True,svcca,0.6907778257422614
fashion_mnist,42,123,3,3,True,pwcca,0.9253551758977082
fashion_mnist,42,123,3,4,False,cka,0.9096879363059998
fashion_mnist,42,123,3,4,False,cosine,0.3940378427505493
fashion_mnist,42,123,3,4,False,svcca,0.7000588596935968
fashion_mnist,42,123,3,4,False,pwcca,0.9283710871181383
fashion_mnist,42,123,4,1,False,cka,0.8589264750480652
fashion_mnist,42,123,4,1,False,cosine,0.38195517659187317
fashion_mnist,42,123,4,1,False,svcca,0.6311860846331715
fashion_mnist,42,123,4,1,False,pwcca,0.8649244471988295
fashion_mnist,42,123,4,2,False,cka,0.8633206486701965
fashion_mnist,42,123,4,2,False,cosine,0.42639729380607605
fashion_mnist,42,123,4,2,False,svcca,0.6816946886297272
fashion_mnist,42,123,4,2,False,pwcca,0.9698126146774659
fashion_mnist,42,123,4,3,False,cka,0.8763945698738098
fashion_mnist,42,123,4,3,False,cosine,0.42599600553512573
fashion_mnist,42,123,4,3,False,svcca,0.6978029194472543
fashion_mnist,42,123,4,3,False,pwcca,0.972735595572446
fashion_mnist,42,123,4,4,True,cka,0.9222736358642578
fashion_mnist,42,123,4,4,True,cosine,0.37280789017677307
fashion_mnist,42,123,4,4,True,svcca,0.7011652855614582
fashion_mnist,42,123,4,4,True,pwcca,0.9354519128484292
fashion_mnist,42,456,1,1,True,cka,0.9712089896202087
fashion_mnist,42,456,1,1,True,cosine,0.36152127385139465
fashion_mnist,42,456,1,1,True,svcca,0.692424451999578
fashion_mnist,42,456,1,1,True,pwcca,0.9107877082010027
fashion_mnist,42,456,1,2,False,cka,0.9438103437423706
fashion_mnist,42,456,1,2,False,cosine,0.4239310920238495
fashion_mnist,42,456,1,2,False,svcca,0.6927477845678254
fashion_mnist,42,456,1,2,False,pwcca,0.921716230086667
fashion_mnist,42,456,1,3,False,cka,0.8910521864891052
fashion_mnist,42,456,1,3,False,cosine,0.4005814492702484
fashion_mnist,42,456,1,3,False,svcca,0.6661332188840154
fashion_mnist,42,456,1,3,False,pwcca,0.9113503856416479
fashion_mnist,42,456,1,4,False,cka,0.7974439859390259
fashion_mnist,42,456,1,4,False,cosine,0.3848237693309784
fashion_mnist,42,456,1,4,False,svcca,0.6462470130933259
fashion_mnist,42,456,1,4,False,pwcca,0.900904382489334
fashion_mnist,42,456,2,1,False,cka,0.91704922914505
fashion_mnist,42,456,2,1,False,cosine,0.3945614695549011
fashion_mnist,42,456,2,1,False,svcca,0.6911308181783689
fashion_mnist,42,456,2,1,False,pwcca,0.9057462569439185
fashion_mnist,42,456,2,2,True,cka,0.9293176531791687
fashion_mnist,42,456,2,2,True,cosine,0.4537718892097473
fashion_mnist,42,456,2,2,True,svcca,0.7038552239508392
fashion_mnist,42,456,2,2,True,pwcca,0.9517087509070241
fashion_mnist,42,456,2,3,False,cka,0.8964171409606934
fashion_mnist,42,456,2,3,False,cosine,0.4456356167793274
fashion_mnist,42,456,2,3,False,svcca,0.689471048820852
fashion_mnist,42,456,2,3,False,pwcca,0.9486899174835215
fashion_mnist,42,456,2,4,False,cka,0.8049788475036621
fashion_mnist,42,456,2,4,False,cosine,0.38297295570373535
fashion_mnist,42,456,2,4,False,svcca,0.6721950498623229
fashion_mnist,42,456,2,4,False,pwcca,0.9431132404588441
fashion_mnist,42,456,3,1,False,cka,0.8875043392181396
fashion_mnist,42,456,3,1,False,cosine,0.41553938388824463
fashion_mnist,42,456,3,1,False,svcca,0.685031946515864
fashion_mnist,42,456,3,1,False,pwcca,0.8898973642244838
fashion_mnist,42,456,3,2,False,cka,0.9238474369049072
fashion_mnist,42,456,3,2,False,cosine,0.46361035108566284
fashion_mnist,42,456,3,2,False,svcca,0.6845531647373008
fashion_mnist,42,456,3,2,False,pwcca,0.9636826871951555
fashion_mnist,42,456,3,3,True,cka,0.9141076803207397
fashion_mnist,42,456,3,3,True,cosine,0.43711113929748535
fashion_mnist,42,456,3,3,True,svcca,0.6867520127895999
fashion_mnist,42,456,3,3,True,pwcca,0.9340288836268763
fashion_mnist,42,456,3,4,False,cka,0.8630552291870117
fashion_mnist,42,456,3,4,False,cosine,0.4263540506362915
fashion_mnist,42,456,3,4,False,svcca,0.6936289409759018
fashion_mnist,42,456,3,4,False,pwcca,0.9389384894055962
fashion_mnist,42,456,4,1,False,cka,0.852262020111084
fashion_mnist,42,456,4,1,False,cosine,0.32805201411247253
fashion_mnist,42,456,4,1,False,svcca,0.6628897357912844
fashion_mnist,42,456,4,1,False,pwcca,0.8757486209743022
fashion_mnist,42,456,4,2,False,cka,0.8897111415863037
fashion_mnist,42,456,4,2,False,cosine,0.4408363103866577
fashion_mnist,42,456,4,2,False,svcca,0.6900595822440568
fashion_mnist,42,456,4,2,False,pwcca,0.971190698796251
fashion_mnist,42,456,4,3,False,cka,0.8851209878921509
fashion_mnist,42,456,4,3,False,cosine,0.43119338154792786
fashion_mnist,42,456,4,3,False,svcca,0.6989826810884435
fashion_mnist,42,456,4,3,False,pwcca,0.9734783389345251
fashion_mnist,42,456,4,4,True,cka,0.867346465587616
fashion_mnist,42,456,4,4,True,cosine,0.37341153621673584
fashion_mnist,42,456,4,4,True,svcca,0.7026895624956658
fashion_mnist,42,456,4,4,True,pwcca,0.9738773047756182
fashion_mnist,123,456,1,1,True,cka,0.9626896977424622
fashion_mnist,123,456,1,1,True,cosine,0.3564176857471466
fashion_mnist,123,456,1,1,True,svcca,0.7027899222988587
fashion_mnist,123,456,1,1,True,pwcca,0.9120846779716463
fashion_mnist,123,456,1,2,False,cka,0.9287264347076416
fashion_mnist,123,456,1,2,False,cosine,0.4301328957080841
fashion_mnist,123,456,1,2,False,svcca,0.6808745655742043
fashion_mnist,123,456,1,2,False,pwcca,0.9153537393179645
fashion_mnist,123,456,1,3,False,cka,0.8684713244438171
fashion_mnist,123,456,1,3,False,cosine,0.42215657234191895
fashion_mnist,123,456,1,3,False,svcca,0.6549109571785025
fashion_mnist,123,456,1,3,False,pwcca,0.9054367757910028
fashion_mnist,123,456,1,4,False,cka,0.7656495571136475
fashion_mnist,123,456,1,4,False,cosine,0.4076264500617981
fashion_mnist,123,456,1,4,False,svcca,0.6260754272125908
fashion_mnist,123,456,1,4,False,pwcca,0.8930378347369216
fashion_mnist,123,456,2,1,False,cka,0.9261190891265869
fashion_mnist,123,456,2,1,False,cosine,0.38135337829589844
fashion_mnist,123,456,2,1,False,svcca,0.7058987894385909
fashion_mnist,123,456,2,1,False,pwcca,0.9027168477013547
fashion_mnist,123,456,2,2,True,cka,0.9223073124885559
fashion_mnist,123,456,2,2,True,cosine,0.4461411237716675
fashion_mnist,123,456,2,2,True,svcca,0.6843851421900462
fashion_mnist,123,456,2,2,True,pwcca,0.9463585927869212
fashion_mnist,123,456,2,3,False,cka,0.8822592496871948
fashion_mnist,123,456,2,3,False,cosine,0.44907987117767334
fashion_mnist,123,456,2,3,False,svcca,0.6833129686701053
fashion_mnist,123,456,2,3,False,pwcca,0.9274221960696815
fashion_mnist,123,456,2,4,False,cka,0.7888476252555847
fashion_mnist,123,456,2,4,False,cosine,0.43774497509002686
fashion_mnist,123,456,2,4,False,svcca,0.6756612380146225
fashion_mnist,123,456,2,4,False,pwcca,0.9207658269566092
fashion_mnist,123,456,3,1,False,cka,0.8841356039047241
fashion_mnist,123,456,3,1,False,cosine,0.37706199288368225
fashion_mnist,123,456,3,1,False,svcca,0.6820572089598099
fashion_mnist,123,456,3,1,False,pwcca,0.8856920450824982
fashion_mnist,123,456,3,2,False,cka,0.8932684659957886
fashion_mnist,123,456,3,2,False,cosine,0.43581414222717285
fashion_mnist,123,456,3,2,False,svcca,0.6849063089701996
fashion_mnist,123,456,3,2,False,pwcca,0.9604731138751782
fashion_mnist,123,456,3,3,True,cka,0.8693676590919495
fashion_mnist,123,456,3,3,True,cosine,0.4252449870109558
fashion_mnist,123,456,3,3,True,svcca,0.6913919343924623
fashion_mnist,123,456,3,3,True,pwcca,0.9618076289947911
fashion_mnist,123,456,3,4,False,cka,0.8033227920532227
fashion_mnist,123,456,3,4,False,cosine,0.4296325743198395
fashion_mnist,123,456,3,4,False,svcca,0.6969825918970184
fashion_mnist,123,456,3,4,False,pwcca,0.9385271722289321
fashion_mnist,123,456,4,1,False,cka,0.8629158735275269
fashion_mnist,123,456,4,1,False,cosine,0.35533130168914795
fashion_mnist,123,456,4,1,False,svcca,0.6431447587863097
fashion_mnist,123,456,4,1,False,pwcca,0.8728094387995882
fashion_mnist,123,456,4,2,False,cka,0.8807265162467957
fashion_mnist,123,456,4,2,False,cosine,0.39961448311805725
fashion_mnist,123,456,4,2,False,svcca,0.6945810346992499
fashion_mnist,123,456,4,2,False,pwcca,0.9686938585588972
fashion_mnist,123,456,4,3,False,cka,0.8690989017486572
fashion_mnist,123,456,4,3,False,cosine,0.4550587832927704
fashion_mnist,123,456,4,3,False,svcca,0.702752150544533
fashion_mnist,123,456,4,3,False,pwcca,0.971347234564136
fashion_mnist,123,456,4,4,True,cka,0.8435242772102356
fashion_mnist,123,456,4,4,True,cosine,0.4026280343532562
fashion_mnist,123,456,4,4,True,svcca,0.7043852492220686
fashion_mnist,123,456,4,4,True,pwcca,0.9719136636012627
cifar10,42,123,1,1,True,cka,0.9374045133590698
cifar10,42,123,1,1,True,cosine,0.14539630711078644
cifar10,42,123,1,1,True,svcca,0.691616120663132
cifar10,42,123,1,1,True,pwcca,0.8884666263661256
cifar10,42,123,1,2,False,cka,0.903400719165802
cifar10,42,123,1,2,False,cosine,0.24598591029644012
cifar10,42,123,1,2,False,svcca,0.8053739299525128
cifar10,42,123,1,2,False,pwcca,0.9290305528547574
cifar10,42,123,1,3,False,cka,0.8281585574150085
