dataset,seed,layer_i,layer_j,layer_distance,metric,value
cifar10,42,1,2,1,cosine,0.2711435556411743
cifar10,42,1,2,1,svcca,0.8865529586670527
cifar10,42,1,2,1,pwcca,0.966443466637454
cifar10,42,1,3,2,cka,0.8544667959213257
cifar10,42,1,3,2,cosine,0.2861105799674988
cifar10,42,1,3,2,svcca,0.8124878208484504
cifar10,42,1,3,2,pwcca,0.9332797996209948
cifar10,42,1,4,3,cka,0.7763571739196777
cifar10,42,1,4,3,cosine,0.22890983521938324
cifar10,42,1,4,3,svcca,0.7525286868405664
cifar10,42,1,4,3,pwcca,0.9027340220477162
cifar10,42,2,1,1,cka,0.9543846249580383
cifar10,42,2,1,1,cosine,0.2711435556411743
cifar10,42,2,1,1,svcca,0.886552958667053
cifar10,42,2,1,1,pwcca,0.9529464264178037
cifar10,42,2,2,0,cka,1.0000003576278687
cifar10,42,2,2,0,cosine,1.0
cifar10,42,2,2,0,svcca,0.9999999787051231
cifar10,42,2,2,0,pwcca,0.9999999956084513
cifar10,42,2,3,1,cka,0.944706916809082
cifar10,42,2,3,1,cosine,0.4020751118659973
cifar10,42,2,3,1,svcca,0.7268934202375025
cifar10,42,2,3,1,pwcca,0.9148502883702465
cifar10,42,2,4,2,cka,0.8753856420516968
cifar10,42,2,4,2,cosine,0.38870862126350403
cifar10,42,2,4,2,svcca,0.6819242204534539
cifar10,42,2,4,2,pwcca,0.890564037745707
cifar10,42,3,1,2,cka,0.8544667959213257
cifar10,42,3,1,2,cosine,0.2861105799674988
cifar10,42,3,1,2,svcca,0.8124878208484502
cifar10,42,3,1,2,pwcca,0.9084509007866973
cifar10,42,3,2,1,cka,0.944706916809082
cifar10,42,3,2,1,cosine,0.4020751118659973
cifar10,42,3,2,1,svcca,0.7268934202375035
cifar10,42,3,2,1,pwcca,0.9347884181617243
cifar10,42,3,3,0,cka,1.000000238418579
cifar10,42,3,3,0,cosine,1.0
cifar10,42,3,3,0,svcca,0.9999999730200485
cifar10,42,3,3,0,pwcca,0.9999999951755244
cifar10,42,3,4,1,cka,0.9638720750808716
cifar10,42,3,4,1,cosine,0.4027962386608124
cifar10,42,3,4,1,svcca,0.7248290596225873
cifar10,42,3,4,1,pwcca,0.9293997073536755
cifar10,42,4,1,3,cka,0.7763571739196777
cifar10,42,4,1,3,cosine,0.22890983521938324
cifar10,42,4,1,3,svcca,0.7525286868405658
cifar10,42,4,1,3,pwcca,0.8751642853891142
cifar10,42,4,2,2,cka,0.8753856420516968
cifar10,42,4,2,2,cosine,0.38870862126350403
cifar10,42,4,2,2,svcca,0.6819242204534546
cifar10,42,4,2,2,pwcca,0.9287996983399588
cifar10,42,4,3,1,cka,0.9638720750808716
cifar10,42,4,3,1,cosine,0.4027962386608124
cifar10,42,4,3,1,svcca,0.7248290596225871
cifar10,42,4,3,1,pwcca,0.9468757232378089
cifar10,42,4,4,0,cka,0.9999998807907104
cifar10,42,4,4,0,cosine,1.0
cifar10,42,4,4,0,svcca,0.9999999297615685
cifar10,42,4,4,0,pwcca,0.9999999908734301
cifar10,123,1,1,0,cka,1.0000001192092896
cifar10,123,1,1,0,cosine,1.0
cifar10,123,1,1,0,svcca,0.9999999907376587
cifar10,123,1,1,0,pwcca,0.9999999984266562
cifar10,123,1,2,1,cka,0.9591650366783142
cifar10,123,1,2,1,cosine,0.23341050744056702
cifar10,123,1,2,1,svcca,0.8698154810995775
cifar10,123,1,2,1,pwcca,0.9581628328532915
cifar10,123,1,3,2,cka,0.8758140802383423
